GAMA;RAJ2000;DEJ2000;rPmag;zh;q_zh;G;Sp;ph;umag;gmag;rmag;imag;zmag;Jmag;Kmag;rSmag;Sloan;DR6;SDSS-ID;ZID
   7454;177.70918;+00.75162;17.3362; 0.13951;4;12;Sp;rd;18.9648;18.0534;17.3396;16.9112;16.7331;16.3644;16.1092;17.1200;Sloan;DR6;588848900985389126;80161988423974912
   7456;177.61127;+00.69713;17.8720; 0.13910;4;12;Sp;rd;20.0423;18.7371;17.8881;17.4595;17.2494;16.7701;16.4803;17.8282;Sloan;DR6;588848900985389173;2dF_TGN447Z078
   7457;177.62726;+00.67411;17.4735; 0.13931;5;12;Sp;rd;20.2372;18.3769;17.2959;16.8475;16.5723;16.1743;15.9350;17.3803;Sloan;DR6;588848900985389176;80160781542359040
   7459;177.64317;+00.82466;19.0154;-2.00000;4;  ;Sp;rd;21.1892;20.0233;18.9742;18.5673;18.3596;17.9965;17.6918;18.8249;Sloan;DR6;588848900985389189;G12_Y3_041_185
   7460;177.66340;+00.66684;17.9529; 0.14040;4;12;Sp;rd;20.0634;18.9349;17.9419;17.5139;17.0427;16.9079;16.7696;17.4573;Sloan;DR6;588848900985389207;G12_Y1_CND1_299
   7461;177.70357;+00.83034;18.9184; 0.14079;4;12;Sp;rd;21.4262;19.6456;18.9855;18.5035;18.2357;18.0705;17.6552;19.0088;Sloan;DR6;588848900985389220;G12_Y1_CN1_335
   7462;177.59284;+00.65711;19.2295;-2.00000;4;  ;Sp;rd;20.6364;19.9622;19.1704;18.7472;18.5083;18.1241;17.7773;18.6136;Sloan;DR6;588848900985389241;G12_Y3_016_124
   7463;177.60441;+00.82389;19.5065;-2.00000;3;  ;Sp;rd;22.2408;20.9287;19.5154;18.9826;18.3986;18.3307;17.6729;19.3383;Sloan;DR6;588848900985389243;G12_Y3_041_186
   7465;177.62902;+00.76834;19.4546;-2.00000;4;  ;Sp;rd;20.7302;20.1935;19.3297;18.9680;18.6944;18.4911;18.1043;19.3145;Sloan;DR6;588848900985389249;G12_Y3_023_290
   7466;177.64784;+00.83198;18.5199; 0.26112;4;12;Sp;rd;21.7878;19.8987;18.6189;18.0616;17.5859;17.1285;16.6090;18.5655;Sloan;DR6;588848900985389256;G12_Y1_CN1_326
   7467;177.70237;+00.77133;19.4937;-2.00000;4;  ;Sp;rd;21.7009;20.2347;19.4639;19.1656;18.9340;18.5907;18.3219;18.7530;Sloan;DR6;588848900985389272;G12_Y2_042_159
   7468;177.71045;+00.81420;18.5670; 0.28850;4;12;Sp;rd;22.4461;20.1658;18.5418;17.9928;17.6866;17.2588;16.7076;18.2507;Sloan;DR6;588848900985389275;G12_Y1_CND1_306
   7469;177.73152;+00.64752;19.4434;-2.00000;3;  ;Sp;rd;22.7638;20.8060;19.4189;18.9576;18.5340;18.3349;17.7611;19.3579;Sloan;DR6;588848900985389278;G12_Y3_016_114
   7470;177.61707;+00.81143;19.5487;-2.00000;4;  ;Sp;rd;       ;20.9180;19.5042;18.9151;18.5454;18.4543;17.5925;19.5198;Sloan;DR6;588848900985389287;G12_Y2_042_166
   7471;177.69117;+00.63778;19.7631;-2.00000;4;  ;Sp;rd;22.2938;21.3891;19.7161;19.0692;18.4831;18.1129;17.6752;19.6645;Sloan;DR6;588848900985389304;G12_Y3_023_292
   7472;177.60947;+00.81972;18.3562; 0.13390;4;12;Sp;rd;20.0391;18.9292;18.3711;18.1274;18.0051;18.0879;17.8609;18.3422;Sloan;DR6;588848900985389339;2dF_TGN447Z079
   7473;177.61478;+00.66819;18.6717; 0.14024;4;12;Sp;rd;19.9710;19.1905;18.6750;18.4008;18.5155;18.2200;17.8587;18.5903;Sloan;DR6;588848900985389342;G12_Y1_CN1_339
   7474;177.62252;+00.82405;19.2788;-2.00000;4;  ;Sp;rd;20.9217;20.0163;19.2874;19.0311;18.5275;19.1602;18.1813;19.1425;Sloan;DR6;588848900985389345;G12_Y3_016_131
   7475;177.64271;+00.72073;18.6708; 0.13294;4;12;Sp;rd;20.6862;19.3926;18.6474;18.2547;17.9159;17.5380;16.9948;18.5832;Sloan;DR6;588848900985389354;G12_Y1_ND2_324
   7476;177.64345;+00.81861;18.9777; 0.15210;4;12;Sp;rd;20.4396;19.4952;18.9924;18.7258;18.8818;18.3827;18.5377;18.8701;Sloan;DR6;588848900985389356;G12_Y1_ND2_320
   7477;177.70110;+00.81419;19.5781;-2.00000;4;  ;Sp;rd;20.9542;20.3167;19.5671;19.2850;19.0558;18.8659;18.1365;19.5267;Sloan;DR6;588848900985389390;G12_Y2_042_162
   7478;177.65271;+00.63347;19.6154;-2.00000;4;  ;Sp;rd;23.0734;20.6686;19.7331;19.2848;18.7778;18.5235;17.7342;19.7688;Sloan;DR6;588848900985389612;G12_Y3_016_118
   7479;177.69442;+00.81055;19.7602;-2.00000;4;  ;Sp;rd;21.6932;20.5137;19.7452;19.4143;18.9777;19.2720;18.3010;19.6868;Sloan;DR6;588848900985389722;G12_Y2_027_110
   7480;177.83233;+00.76008;18.1200; 0.12906;4;12;Sp;rd;20.8943;19.0906;18.0815;17.6388;17.2830;16.9155;16.7081;18.1516;Sloan;DR6;588848900985454662;G12_Y1_ND2_336
   7482;177.75746;+00.69856;18.6793; 0.25675;4;12;Sp;rd;21.1625;19.6581;18.6813;18.2214;17.8963;17.5728;17.1776;18.4820;Sloan;DR6;588848900985454734;G12_Y1_CN1_347
   7483;177.76149;+00.67306;18.0864; 0.08160;4;12;Sp;rd;19.5637;18.5432;18.0673;17.7946;17.7241;17.6924;17.5715;17.9964;Sloan;DR6;588848900985454740;2dF_TGN447Z049
   7484;177.76768;+00.66337;18.0919; 0.28741;4;12;Sp;rd;20.7345;19.4333;18.0642;17.4569;17.2219;16.7734;16.3003;17.3368;Sloan;DR6;588848900985454744;G12_Y1_CN1_348
   7485;177.76985;+00.75227;19.2789;-2.00000;4;  ;Sp;rd;20.8505;19.9609;19.2767;18.8740;18.6191;18.4041;18.2147;18.7818;Sloan;DR6;588848900985454750;G12_Y1_ND2_333
   7486;177.79188;+00.81398;19.1024;-2.00000;4;  ;Sp;rd;20.2499;19.4953;19.1117;18.8566;18.7121;18.6121;18.8228;19.1755;Sloan;DR6;588848900985454761;G12_Y1_ND2_331
   7487;177.79391;+00.81871;18.7674; 0.10873;4;12;Sp;rd;19.8530;19.0477;18.7866;18.6064;18.5367;18.9366;18.2451;18.7722;Sloan;DR6;588848900985454762;G12_Y1_CN1_342
   7488;177.82575;+00.82229;19.2802;-2.00000;4;  ;Sp;rd;20.8836;19.8108;19.2827;18.9262;18.7487;18.5167;18.5461;19.3743;Sloan;DR6;588848900985454787;G12_Y2_042_155
   7489;177.84773;+00.73323;16.9398; 0.12820;5;12;Sp;rd;19.7793;17.9496;16.9450;16.5281;16.2181;15.7994;15.5920;16.9138;Sloan;DR6;588848900985454804;80160781710131200
   7490;177.86710;+00.72869;17.2027; 0.10721;5;12;Sp;rd;19.6836;18.0173;17.2202;16.8581;16.6427;16.4086;16.3352;17.1967;Sloan;DR6;588848900985454816;80161988616912896
   7491;177.75733;+00.80763;19.0966;-2.00000;4;  ;Sp;rd;21.4106;20.3442;19.0928;18.7032;18.3311;18.0472;17.4885;18.3256;Sloan;DR6;588848900985454843;G12_Y1_CN1_340
   7492;177.75717;+00.80492;19.0613;-2.00000;4;  ;Sp;rd;21.1639;19.8107;18.9167;18.4399;18.0239;17.8278;17.4031;19.1307;Sloan;DR6;588848900985454844;G12_Y1_CND1_310
   7493;177.76524;+00.78843;18.9997; 0.26626;4;12;Sp;rd;       ;20.2785;18.9657;18.4799;18.2875;17.8276;17.5291;18.9955;Sloan;DR6;588848900985454848;G12_Y1_CND1_311
   7494;177.79032;+00.70404;19.5129;-2.00000;4;  ;Sp;rd;23.5777;20.4549;19.2820;18.7459;18.3783;18.0098;17.6909;19.3445;Sloan;DR6;588848900985454856;G12_Y3_016_110
   7495;177.79120;+00.70382;19.5354;-2.00000;4;  ;Sp;rd;23.5014;20.5758;19.4530;19.0199;18.8113;18.2355;17.7177;19.1655;Sloan;DR6;588848900985454857;G12_Y2_027_101
   7496;177.79239;+00.70622;18.9174; 0.25585;4;12;Sp;rd;21.8749;19.7015;18.8206;18.3831;18.0249;17.7662;17.3521;18.9848;Sloan;DR6;588848900985454858;G12_Y1_ND2_334
   7497;177.74296;+00.64452;19.7559;-2.00000;4;  ;Sp;rd;20.6868;20.3292;19.6334;19.3124;19.0242;19.0837;18.5511;19.3823;Sloan;DR6;588848900985454917;G12_Y1_ND2_335
   7498;177.75129;+00.80425;19.3638;-2.00000;4;  ;Sp;rd;20.5323;19.7178;19.3383;19.0986;19.0142;19.1134;20.2860;18.6521;Sloan;DR6;588848900985454924;G12_Y1_ND2_329
   7499;177.76191;+00.75232;19.7964;-2.00000;4;  ;Sp;rd;20.8741;20.4886;19.7987;19.6518;19.5131;19.5490;18.8291;19.2785;Sloan;DR6;588848900985454927;G12_Y2_027_104
   7500;177.80030;+00.66009;18.6582; 0.16074;4;12;Sp;rd;20.5934;19.2479;18.6541;18.3714;18.2569;18.1201;17.8222;18.5455;Sloan;DR6;588848900985454960;G12_Y1_CN1_355
   7501;177.84509;+00.80057;19.5515;-2.00000;4;  ;Sp;rd;20.6757;19.7239;19.3010;19.2025;18.7129;18.7047;18.4350;19.5088;Sloan;DR6;588848900985454986;G12_Y2_042_154
   7502;177.85217;+00.70638;19.7599;-2.00000;4;  ;Sp;rd;21.1054;20.3973;19.7508;19.2690;19.5442;19.4543;18.5480;19.8913;Sloan;DR6;588848900985454998;G12_Y3_023_304
   7503;177.86070;+00.70024;19.6131;-2.00000;4;  ;Sp;rd;21.1156;20.0820;19.6445;19.4744;19.5191;19.1740;19.3964;19.8117;Sloan;DR6;588848900985455005;G12_Y2_042_142
   7504;177.87970;+00.70034;18.2100; 0.10540;4;12;Sp;rd;19.7712;18.6633;18.1911;17.9308;17.9876;18.3004;17.5798;18.3106;Sloan;DR6;588848900985455016;2dF_TGN447Z028
   7505;177.75153;+00.71519;19.5149;-2.00000;4;  ;Sp;rd;22.2830;20.4521;19.5324;19.1550;18.8282;18.5449;17.9477;19.2750;Sloan;DR6;588848900985455087;G12_Y2_027_105
   7506;177.75591;+00.70817;19.7879;-2.00000;4;  ;Sp;rd;23.5644;21.2264;19.7937;19.1071;18.8452;18.3349;17.6511;19.4944;Sloan;DR6;588848900985455106;G12_Y3_023_298
   7507;177.80325;+00.71042;19.7231;-2.00000;4;  ;Sp;rd;21.2924;20.7537;19.6528;19.1481;18.9996;18.9692;18.3595;19.3934;Sloan;DR6;588848900985455233;G12_Y3_023_302
   7508;177.76905;+00.69911;19.7295;-2.00000;0;  ;Sp;sd;       ;       ;22.9648;21.5699;20.7510;20.0729;19.6728;       ;Sloan;DR6;588848900985455727;
   7509;177.88780;+00.69739;19.6280;-2.00000;4;  ;Sp;rd;20.9139;20.2568;19.6038;19.1974;19.0870;18.5995;18.4682;19.7483;Sloan;DR6;588848900985520188;G12_Y2_042_140
   7510;177.90576;+00.82316;18.7850; 0.19531;4;12;Sp;rd;       ;19.9607;18.7923;18.3473;18.0437;17.7021;17.4457;18.8232;Sloan;DR6;588848900985520203;G12_Y1_CND1_320
   7511;177.90725;+00.76142;18.9082; 0.05928;4;12;Sp;rd;20.5146;19.2807;18.8979;18.6519;18.6628;18.7607;18.7605;19.0077;Sloan;DR6;588848900985520205;G12_Y1_ND2_340
   7512;177.90936;+00.82958;17.7431; 0.19490;5;12;Sp;rd;20.4629;18.9183;17.7522;17.3293;17.0545;16.7088;16.2712;17.6192;Sloan;DR6;588848900985520209;80160781735297024
   7513;177.92240;+00.70236;18.5445; 0.19585;4;12;Sp;rd;21.3844;19.6303;18.4774;18.0173;17.7380;17.4828;17.0161;18.6267;Sloan;DR6;588848900985520220;G12_Y1_CND1_324
   7514;177.95524;+00.72233;18.8634; 0.16030;4;12;Sp;rd;20.3816;19.4519;18.8568;18.5915;18.3463;18.1342;17.9825;18.9602;Sloan;DR6;588848900985520238;G12_Y1_CN1_358
   7516;177.99025;+00.76213;19.7956; 1.51800;3;  ;Sp;rd;20.6616;20.3873;19.8179;19.5288;19.3161;18.8028;18.8453;19.9230;Sloan;DR6;588848900985520263;2QZ_TQN378_370
   7517;177.99711;+00.83845;18.3487; 0.28529;4;12;Sp;rd;21.2149;19.8618;18.3850;17.8251;17.5371;17.0894;16.6050;18.2899;Sloan;DR6;588848900985520272;G12_Y1_ND2_342
   7518;178.00738;+00.63706;18.8868; 0.06389;4;12;Sp;rd;20.4150;19.3328;18.9001;18.5761;18.4869;18.6691;18.4946;18.9733;Sloan;DR6;588848900985520279;G12_Y1_CN1_367
   7519;178.01525;+00.68257;19.7872;-2.00000;4;  ;Sp;rd;21.0915;20.6452;19.7848;19.5788;19.3972;19.3720;19.3333;19.8194;Sloan;DR6;588848900985520281;G12_Y2_042_127
   7520;177.91013;+00.63763;19.3978;-2.00000;4;  ;Sp;rd;22.4959;20.5995;19.4058;18.8914;18.6010;18.0720;17.6259;19.4673;Sloan;DR6;588848900985520301;G12_Y2_042_135
   7521;177.93250;+00.64434;19.2140;-2.00000;4;  ;Sp;rd;       ;20.3759;19.0873;18.5374;18.3290;17.8562;17.2732;19.0921;Sloan;DR6;588848900985520305;G12_Y1_ND2_348
   7522;177.95298;+00.80920;18.8511; 0.19702;4;12;Sp;rd;22.2074;20.0170;18.8613;18.4178;17.9357;17.6115;17.1585;18.8815;Sloan;DR6;588848900985520316;G12_Y1_CN1_353
   7523;177.96631;+00.78362;19.2923;-2.00000;4;  ;Sp;rd;22.5980;20.3667;19.2710;18.7754;18.6056;18.2450;18.1359;19.3150;Sloan;DR6;588848900985520319;G12_Y3_023_311
   7524;177.97254;+00.75070;18.5280; 0.10645;4;12;Sp;rd;21.0396;19.2339;18.5359;18.0157;17.7340;17.3112;16.9345;18.5928;Sloan;DR6;588848900985520327;G12_Y1_ND2_345
   7525;177.97321;+00.68643;19.5988;-2.00000;4;  ;Sp;rd;22.8215;20.9954;19.6476;19.0730;18.8459;18.1410;17.7126;19.6481;Sloan;DR6;588848900985520328;G12_Y2_027_087
   7526;177.98982;+00.68784;19.5415;-2.00000;4;  ;Sp;rd;23.0566;20.6132;19.5261;19.0237;18.7163;18.0227;17.5054;19.5805;Sloan;DR6;588848900985520331;G12_Y3_016_093
   7527;177.99113;+00.66528;19.5674;-2.00000;4;  ;Sp;rd;22.5786;20.9823;19.5763;19.1616;18.7441;18.6984;17.8206;19.6731;Sloan;DR6;588848900985520333;G12_Y2_042_129
   7529;178.02461;+00.67959;18.7472; 0.29673;4;12;Sp;rd;23.2847;20.2456;18.7469;18.2288;17.8769;17.3926;16.9441;18.6283;Sloan;DR6;588848900985520344;G12_Y1_CN1_364
   7530;177.89612;+00.82007;19.7817;-2.00000;2;  ;Sp;rd;22.0371;21.3566;19.8236;19.2561;19.0480;18.8907;18.1503;19.8110;Sloan;DR6;588848900985520351;G12_Y2_042_149
   7531;177.90164;+00.67321;19.6045;-2.00000;4;  ;Sp;rd;21.6926;20.7356;19.4823;18.5649;18.1347;17.5869;17.1188;19.6910;Sloan;DR6;588848900985520353;G12_Y3_023_308
   7532;177.98442;+00.77119;19.7610;-2.00000;4;  ;Sp;rd;21.7701;21.2281;19.7691;19.2056;18.8111;18.3724;17.7891;19.8421;Sloan;DR6;588848900985520373;G12_Y3_023_312
   7533;177.89930;+00.82208;19.4531;-2.00000;4;  ;Sp;rd;21.5717;20.5384;19.4542;19.0593;18.6347;18.4978;17.6331;19.5461;Sloan;DR6;588848900985520382;G12_Y1_ND2_338
   7534;177.95112;+00.80277;19.3239;-2.00000;4;  ;Sp;rd;21.0178;19.9886;19.3440;19.0980;18.9139;18.3714;18.1929;19.4451;Sloan;DR6;588848900985520403;G12_Y1_ND2_341
   7535;177.97485;+00.83718;19.7929;-2.00000;3;  ;Sp;rd;20.4402;20.3158;19.9191;19.7054;19.7390;20.7436;19.2644;19.7627;Sloan;DR6;588848900985520418;G12_Y3_041_178
   7536;177.98004;+00.72647;19.0399;-2.00000;4;  ;Sp;rd;20.5291;19.5651;19.0345;18.7796;18.8402;18.3616;18.6306;19.1091;Sloan;DR6;588848900985520427;G12_Y1_ND2_346
   7537;177.90249;+00.83131;19.6403;-2.00000;4;  ;Sp;rd;       ;21.0659;19.6328;19.0304;18.5605;18.2858;17.4681;20.4818;Sloan;DR6;588848900985520548;G12_Y2_014_155
   7538;177.97523;+00.81905;19.4766;-2.00000;4;  ;Sp;rd;21.3389;20.0140;19.3907;18.9520;18.8097;18.6925;18.7978;19.4963;Sloan;DR6;588848900985520729;G12_Y2_042_143
   7539;177.97717;+00.64666;19.7982;-2.00000;4;  ;Sp;rd;21.5798;20.7607;19.8510;19.5874;19.3490;19.5377;18.6761;20.0164;Sloan;DR6;588848900985520736;G12_Y3_016_094
   7540;178.15000;+00.80061;19.1899;-2.00000;4;  ;Sp;rd;21.7763;20.0975;18.9918;18.5424;18.3496;18.3908;17.8439;18.9026;Sloan;DR6;588848900985585714;G12_Y2_027_071
   7541;178.07383;+00.66205;18.4185; 0.15176;4;12;Sp;rd;20.8276;19.2582;18.4335;18.0693;17.8288;17.5707;17.4133;18.2041;Sloan;DR6;588848900985585751;G12_Y1_CN1_368
   7542;178.11467;+00.65000;19.4707;-2.00000;4;  ;Sp;rd;20.7450;19.9181;19.4808;19.2581;19.1742;18.7829;19.0370;19.5443;Sloan;DR6;588848900985585765;G12_Y1_ND2_357
   7543;178.14600;+00.73412;19.0854;-2.00000;4;  ;Sp;rd;20.1285;18.4262;19.0882;17.5350;17.4354;17.3706;17.8185;19.0732;Sloan;DR6;588848900985585790;G12_Y1_ND3_246
   7544;178.17699;+00.64306;19.6174;-2.00000;4;  ;Sp;rd;20.9666;19.9306;19.5915;19.2371;19.0396;19.3456;18.9162;19.6683;Sloan;DR6;588848900985585809;G12_Y1_ND3_242
   7545;178.07249;+00.74523;19.6129;-2.00000;4;  ;Sp;rd;       ;20.8194;19.6299;19.0849;18.9729;18.3970;18.0553;19.7366;Sloan;DR6;588848900985585825;G12_Y2_042_123
   7546;178.12248;+00.75631;19.0604;-2.00000;4;  ;Sp;rd;23.7707;20.5503;19.0770;18.5672;18.2991;17.9634;17.4215;18.9070;Sloan;DR6;588848900985585838;G12_Y1_ND2_352
   7547;178.12530;+00.63226;19.1151; 0.42221;5;12;Sp;rd;23.3332;20.9610;19.0763;18.3356;18.0914;17.5717;16.9141;19.1585;Sloan;DR6;588848900985585840;80161988788879360
   7548;178.14744;+00.70890;19.2311;-2.00000;4;  ;Sp;rd;22.7680;20.9764;19.2565;18.4944;18.0823;17.7273;16.9614;19.1364;Sloan;DR6;588848900985585843;G12_Y1_ND3_245
   7549;178.04900;+00.75707;19.3298;-2.00000;4;  ;Sp;rd;21.8215;21.2486;19.2971;18.6363;18.3348;17.6386;17.0574;19.2439;Sloan;DR6;588848900985585857;G12_Y2_014_142
   7550;178.03858;+00.67942;19.4554;-2.00000;4;  ;Sp;rd;20.5336;20.2343;19.4520;19.2160;19.1293;18.8675;18.3932;19.5222;Sloan;DR6;588848900985585876;G12_Y2_042_125
   7551;178.04888;+00.74198;17.9436; 0.00850;4;12;Sp;rd;18.8588;18.2147;17.9154;17.8147;17.7786;18.3320;19.2500;19.8829;Sloan;DR6;588848900985585881;2dF_TGN447Z005
   7552;178.16808;+00.72627;19.3833;-2.00000;4;  ;Sp;rd;20.7466;19.6561;19.2440;18.8967;18.7316;18.1338;18.5202;18.8336;Sloan;DR6;588848900985585957;G12_Y2_042_110
   7553;178.11843;+00.83528;19.7552;-2.00000;4;  ;Sp;rd;       ;21.2100;19.9177;19.2317;19.2642;18.2119;17.5857;19.8436;Sloan;DR6;588848900985586204;G12_Y2_027_072
   7554;178.20297;+00.66193;15.8241; 0.07829;5;12;Sp;rd;17.7032;16.4047;15.7593;15.4111;15.2268;15.0030;14.8804;15.6921;Sloan;DR6;588848900985651219;80161989124423680
   7557;178.26737;+00.70408;19.1166;-2.00000;4;  ;Sp;sd;20.1268;       ;       ;       ;18.5671;18.0760;17.5255;18.9023;Sloan;DR6;588848900985651262;G12_Y3_016_070
